episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,var_pv,var_rc,var_gr,var_lat
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0005,drift,./data/,./fig/,results_noise_all,0.1681741464279285,0.062298816051271376,3.18263495616001,1.0429560860590952
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.001,drift,./data/,./fig/,results_noise_all,0.15454816507991898,0.040122336781743984,4.868508406283885,4.440588545217574
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0005,drift,./data/,./fig/,results_noise_all,0.17541784746109507,0.027291258684698103,2.754259078591313,0.2400389655271666
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.005,drift,./data/,./fig/,results_noise_all,0.12704396960385222,0.15730249243593397,6.388878588689419,3.6188107606733944
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0005,drift,./data/,./fig/,results_noise_all,0.15045272346008334,0.05535045300374466,2.6598170710170037,0.07061177641187728
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0001,drift,./data/,./fig/,results_noise_all,0.12099997146842122,0.015678469779682243,0.9017541904832612,0.23486511361883453
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0001,drift,./data/,./fig/,results_noise_all,0.12392604241774814,0.04951196802816515,1.7492025527647355,0.18077226031996038
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.0001,drift,./data/,./fig/,results_noise_all,0.07342898898373518,0.04891413265829322,1.472355362115664,0.1093255865758598
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.005,drift,./data/,./fig/,results_noise_all,0.10622070374826538,0.09325188824252076,6.42198196197154,7.985742549055558
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.005,drift,./data/,./fig/,results_noise_all,0.09229487243418402,0.17854431505972967,6.632636678223706,12.675874318670282
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0,drift,./data/,./fig/,results_noise_all,0.003756817363996299,0.0009680451874294707,0.6593464616214307,0.4095782264702061
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0,drift,./data/,./fig/,results_noise_all,0.004155194606764952,0.0009458940782657579,0.9766315277257108,0.3990255605630255
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],1e-06,drift,./data/,./fig/,results_noise_all,0.0036639287515197005,0.001000461742281413,0.5829858494279795,0.36465315463014086
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-07,drift,./data/,./fig/,results_noise_all,0.0037393305137512016,0.0008440825404312361,0.5625605970512686,0.38550825950566575
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],1e-06,drift,./data/,./fig/,results_noise_all,0.0033776692618835264,0.000933085718810212,0.9338017218282972,0.39131775796023144
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],1e-06,drift,./data/,./fig/,results_noise_all,0.0037475795914536543,0.0007692025935258976,0.7424503922910702,0.3982544766064754
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-07,drift,./data/,./fig/,results_noise_all,0.00463082438690737,0.0012340157788684894,0.41482960978223765,0.3301180624439707
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-07,drift,./data/,./fig/,results_noise_all,0.003577291483778853,0.000937611464771328,0.9379239781009943,0.4172405141128066
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0,drift,./data/,./fig/,results_noise_all,0.004253667563537517,0.0008115697864126928,0.4667833111860243,0.39279926576098906
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.001,drift,./data/,./fig/,results_noise_all,0.25506457825364776,0.16513134414796785,1.2114724587854266,0.09468927561296935
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],1e-05,drift,./data/,./fig/,results_noise_all,0.0037675062955998544,0.0008698591939682169,0.2711565775112942,0.369708661417138
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0001,drift,./data/,./fig/,results_noise_all,0.044712442525301405,0.023442005195217597,0.8953777875101925,0.28120059277936754
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.001,drift,./data/,./fig/,results_noise_all,0.21725669509259604,0.17248062978777393,0.5476593609436258,0.10932558657585978
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-05,drift,./data/,./fig/,results_noise_all,0.014178823707233699,0.003202920866965379,0.8549100364597803,0.37124952492128754
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-06,drift,./data/,./fig/,results_noise_all,0.004334122212004324,0.001017586825847282,0.784641421138675,0.3954403841693948
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-06,drift,./data/,./fig/,results_noise_all,0.004080880115242608,0.000934479072625171,1.0583006799125574,0.38180662857061226
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-06,drift,./data/,./fig/,results_noise_all,0.0036527525341202697,0.0010292162914964202,0.8325270601464735,1.0463704520212478
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],1e-05,drift,./data/,./fig/,results_noise_all,0.0034846531678162725,0.0007405378395188183,0.5388550478554264,0.40891735836797727
