episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,latencys,cumr,dx,delta_dxr
50000,100,[0.5],0.05,8,0,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,3.332666473678167e-59,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.01413522,-0.01413522]"
50000,100,[0.5],0.05,7,2,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,65,23.40969679028563,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.01407637,-0.01407637]"
50000,100,[0.5],0.05,8,2,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,1.4492329239235777e-75,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.01420723,-0.01424142]"
50000,100,[0.5],0.05,8,1,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,2.544922804731876e-74,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.01413269,-0.01413269]"
50000,100,[0.5],0.05,9,0,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,21.310097429712386,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.01414098,-0.01414098]"
50000,100,[0.5],0.025,2,0,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,30,3.7371590895239524,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.33504556,0.33526708,0.33398338,...,0.32726561,0.32413763,0.32098337]]","[-0.00640844, 0.01620503,-0.01085085]"
50000,100,[0.5],0.01,2,1,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,9.428628152409996,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.25077934,0.25132595,0.25147529], [0.25074341,0.25056643,0.24999138,...,0.26118973,0.2606663 ,0.25983918]]","[-0.01174867, 0.03385942,-0.00795442]"
50000,100,[0.5],0.01,2,0,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,2.0856298788422305,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.25045338,0.25100858,0.2511663 ], [0.25050963,0.25032442,0.24974085,...,0.26186807,0.26139058,0.26060318]]","[-0.01174867, 0.03544382,-0.0043241 ]"
50000,100,[0.5],0.1,2,2,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,65,0.6011442431001583,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[0.00076232,0.00076237,0.00076255]"
50000,100,[0.5],0.05,5,0,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,1.097920661177905e-80,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
